,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,arraial do cabo,BR,2021-02-10 11:33:21,-22.9661,-42.0278,40,69,84.46999999999997,5.66
1,atuona,PF,2021-02-10 11:33:21,-9.8,-139.0333,6,77,79.19600000000005,9.08
2,jamestown,US,2021-02-10 11:30:45,42.097,-79.2353,1,53,23.26999999999996,3.09
3,attawapiskat,,,,,,,,
4,tuatapere,NZ,2021-02-10 11:33:21,-46.1333,167.6833,100,91,51.61999999999996,7.19
5,khani,GE,2021-02-10 11:33:21,41.9563,42.9566,0,41,61.069999999999965,2.06
6,chuy,UY,2021-02-10 11:32:19,-33.6971,-53.4616,0,70,77.43200000000002,4.8
7,elmadag,TR,2021-02-10 11:29:40,39.9208,33.2308,40,66,50.26999999999996,1.54
8,vila velha,BR,2021-02-10 11:31:19,-20.3297,-40.2925,40,62,86.26999999999995,4.63
9,scottsburgh,,,,,,,,
10,tumannyy,,,,,,,,
11,chongwe,ZM,2021-02-10 11:33:21,-15.3292,28.682,100,97,68.39600000000004,2.08
12,coihaique,CL,2021-02-10 11:33:21,-45.5752,-72.0662,20,36,80.86999999999996,3.6
13,cilegon,ID,2021-02-10 11:33:21,-6.0174,106.0538,20,94,77.26999999999995,2.06
14,provideniya,RU,2021-02-10 11:33:22,64.3833,-173.3,0,77,-12.028000000000013,5.2
15,port alfred,ZA,2021-02-10 11:32:44,-33.5906,26.891,38,89,77.26999999999995,0.89
16,hambantota,LK,2021-02-10 11:33:22,6.1241,81.1185,0,78,77.26999999999995,5.14
17,kaitangata,NZ,2021-02-10 11:33:22,-46.2817,169.8464,100,56,55.274000000000015,4.47
18,fortuna,US,2021-02-10 11:33:22,40.5982,-124.1573,90,100,43.26799999999999,3.6
19,yeppoon,AU,2021-02-10 11:33:22,-23.1333,150.7333,75,83,73.66999999999996,2.06
20,mataura,NZ,2021-02-10 11:33:22,-46.1927,168.8643,100,92,49.53200000000002,6.15
21,arouca,TT,2021-02-10 11:33:22,10.6333,-61.3333,40,58,85.26199999999996,7.72
22,quatre cocos,MU,2021-02-10 11:33:22,-20.2078,57.7625,40,74,80.86999999999996,4.12
23,ushuaia,AR,2021-02-10 11:31:50,-54.8,-68.3,20,29,79.06999999999996,6.17
24,punta arenas,CL,2021-02-10 11:32:53,-53.15,-70.9167,0,67,61.069999999999965,4.12
25,lebu,CL,2021-02-10 11:33:22,-37.6167,-73.65,1,60,70.75399999999996,3.65
26,sulya,IN,2021-02-10 11:33:22,12.5667,75.3833,67,73,79.06999999999996,1.54
27,husavik,IS,2021-02-10 11:33:22,66.0449,-17.3389,75,93,19.66999999999996,1.03
28,ribeira grande,PT,2021-02-10 11:33:22,38.5167,-28.7,40,67,62.86999999999996,10.29
29,palabuhanratu,,,,,,,,
30,avarua,CK,2021-02-10 11:33:22,-21.2078,-159.775,20,83,79.06999999999996,2.06
31,caramay,PH,2021-02-10 11:33:22,10.1815,119.236,5,87,77.01799999999999,1.12
32,barentsburg,,,,,,,,
33,satitoa,,,,,,,,
34,abu jubayhah,,,,,,,,
35,torbat-e jam,IR,2021-02-10 11:33:23,35.244,60.6225,0,44,55.13000000000004,0.24
36,bredasdorp,ZA,2021-02-10 11:33:23,-34.5322,20.0403,4,64,73.66999999999996,5.14
37,ponta do sol,PT,2021-02-10 11:33:23,32.6667,-17.1,75,86,64.27400000000002,0.89
38,rikitea,PF,2021-02-10 11:33:23,-23.1203,-134.9692,64,75,78.476,4.33
39,kodiak,US,2021-02-10 11:33:23,57.79,-152.4072,90,75,37.66999999999996,7.2
40,saint-philippe,RE,2021-02-10 11:33:23,-21.3585,55.7679,0,69,82.66999999999996,3.6
41,bargal,,,,,,,,
42,antalaha,MG,2021-02-10 11:33:23,-14.9003,50.2788,100,85,78.72799999999997,1.68
43,chukhloma,RU,2021-02-10 11:33:23,58.7525,42.6825,64,92,-5.133999999999993,2.25
44,illoqqortoormiut,,,,,,,,
45,fare,PF,2021-02-10 11:33:23,-16.7,-151.0167,0,69,81.48200000000003,4.84
46,fillan,NO,2021-02-10 11:33:23,63.6064,8.9696,20,79,14.269999999999957,4.63
47,taltal,CL,2021-02-10 11:33:23,-25.4,-70.4833,52,66,69.368,2.56
48,zaozhuang,CN,2021-02-10 11:33:23,34.8647,117.5542,20,65,43.016000000000005,2.46
49,hermanus,ZA,2021-02-10 11:33:23,-34.4187,19.2345,0,63,79.26799999999999,3.58
50,kavieng,PG,2021-02-10 11:33:23,-2.5744,150.7967,62,75,82.88599999999997,3.76
51,thompson,CA,2021-02-10 11:31:31,55.7435,-97.8558,75,67,-36.129999999999995,1.03
52,lompoc,US,2021-02-10 11:33:24,34.6391,-120.4579,1,93,52.26799999999999,2.66
53,taolanaro,,,,,,,,
54,cabo san lucas,MX,2021-02-10 11:29:13,22.8909,-109.9124,1,77,67.26199999999996,5.66
55,kysyl-syr,RU,2021-02-10 11:33:24,63.8986,122.7617,0,86,-20.866000000000007,2.48
56,hobart,AU,2021-02-10 11:32:55,-42.8794,147.3294,0,82,53.27599999999999,2.57
57,kruisfontein,ZA,2021-02-10 11:33:18,-34.0033,24.7314,0,77,77.26999999999995,5.81
58,mizan teferi,ET,2021-02-10 11:33:24,6.9833,35.5833,97,45,71.54600000000005,1.02
59,albany,US,2021-02-10 11:31:43,42.6001,-73.9662,47,48,27.26600000000001,2.58
60,busselton,AU,2021-02-10 11:33:02,-33.65,115.3333,0,96,55.274000000000015,3.87
61,cockburn harbour,,,,,,,,
62,tiksi,RU,2021-02-10 11:33:24,71.6872,128.8694,15,88,-17.42800000000002,1.96
63,kagawasan,PH,2021-02-10 11:33:24,7.8661,123.395,100,96,73.058,0.64
64,yulara,AU,2021-02-10 11:33:24,-25.2406,130.9889,40,58,86.26999999999995,1.54
65,hithadhoo,MV,2021-02-10 11:33:24,-0.6,73.0833,19,74,82.81400000000004,5.2
66,coffeyville,US,2021-02-10 11:33:24,37.0373,-95.6164,90,73,17.86999999999996,5.14
67,tabialan,,,,,,,,
68,butaritari,KI,2021-02-10 11:33:24,3.0707,172.7902,78,77,81.33800000000005,6.87
